Lp.;Nazwa Muzeum;Kod pocztowy;Miejscowość;ul./Al./Pl./;Ulica;Numer domu;Numer lokalu;Nazwa Organizatora /Założyciela;Data wpisu do Państwowego Rejestru Muzeów (dotyczy Muzeum wpisanego do Państwowego Rejestru Muzeów);Status muzeum
1;Centralne Muzeum Jeńców Wojennych w Łambinowicach - Opolu ;45-017;Opole;ul.;Minorytów;3;;Województwo Opolskie;06.07.1998;Samorządowe
2;Centralne Muzeum Pożarnictwa w Mysłowicach;41-400;Mysłowice;ul.;Stadionowa;7a;;Komenda Główna Państwowej Straży Pożarnej ;;Samorządowe
3;Centralne Muzeum Włókiennictwa w Łodzi;93-034;Łódź;ul.;Piotrkowska;282;;Miasto Łódź ;28.06.2013;Samorządowe
4;Interaktywne Muzeum Państwa Krzyżackiego w Działdowie  ;13-200;Działdowo;ul.;Mickiewicza;43;;Gmina – Miasto Działdowo ;;Samorządowe
5;Lubuskie Muzeum Wojskowe w Zielonej Górze z siedzibą w Drzonowie ;66-008;Świdnica;ul.;Drzonów;54;;Miasto Zielona Góra;06.07.1998;Samorządowe
6;Miejskie Muzeum Zabawek ze zbiorów Henryka Tomaszewskiego;58-540;Karpacz;ul.;Kolejowa;3;;Gmina Karpacz ;;Samorządowe
7;Międzyrzecki Rejon Umocniony - Muzeum Fortyfikacji i Nietoperzy w Pniewie ;66-300;Międzyrzecz;ul.;Pniewo;1;;Gmina Międzyrzecz;;Samorządowe
8;Muzeum Czartoryskich w Puławach (w organizacji);24-100;Puławy;ul. ;Czartoryskich ;8;;Miasto Puławy ;;Samorządowe
9;Muzeum „Górnośląski Park Etnograficzny w Chorzowie”;41-500;Chorzów;ul.;Parkowa;25;;Województwo Śląskie;;Samorządowe
10;Muzeum Archeologiczne w Biskupinie;88-410;Gąsawa;ul.;Biskupin;17;;Województwo Kujawsko – Pomorskie ;;Samorządowe
11;Muzeum Archeologiczne w Gdańsku;80-958;Gdańsk;ul.;Mariacka;25;26;Województwo Pomorskie ;;Samorządowe
12;Muzeum Archeologiczne w Krakowie;31-002;Kraków;ul.;Senacka;3;;Województwo Małopolskie;07.07.2006;Samorządowe
13;Muzeum Archeologiczne w Poznaniu;61-781;Poznań;ul.;Wodna;27;;Miasto Poznań ;28.12.1998;Samorządowe
14;Muzeum Archeologiczne i Etnograficzne w Łodzi;91-415;Łódź;pl.;Wolności;14;;Województwo Łódzkie ;28.12.1998;Samorządowe
15;Muzeum Archeologiczne Środkowego Nadodrza w Zielonej Górze z siedzibą w Świdnicy;66-008;Świdnica;ul.;Długa;27;;Miasto Zielona Góra;06.07.1998;Samorządowe
16;Muzeum Archeologiczno-Historyczne w Elblągu;82-300;Elbląg;ul.;Bulwar Zygmunta Augusta;11;;Gmina Miasto Elbląg;;Samorządowe
17;Muzeum Archeologiczno-Historyczne w Głogowie;67-200;Głogów;ul.;Brama Brzostowska;1;;Gmina Miejska Głogów;30.12.2008;Samorządowe
18;Muzeum Archeologiczno – Historyczne w Stargardzie ;73-110;Stargard;ul.;Rynek Staromiejski;2-;4;Gmina Miasto Stargard ;;Samorządowe
19;Muzeum Architektury we Wrocławiu;50-156;Wrocław;ul.;Bernardyńska;5;;Gmina Wrocław;28.06.2013;Samorządowe
20;Muzeum Armii Krajowej im. gen. Emila Fieldorfa ,,Nila” w Krakowie;31-511;Kraków;ul.;Wita Stwosza;12;;Gmina Miejska Kraków i Województwo Małopolskie;;Samorządowe
21;Muzeum Augusta Zamoyskiego w Jabłoniu ;21-205;Jabłoń;ul.;Augusta Zamoyskiego;9A;;Gmina Jabłoń;;Samorządowe
22;Muzeum Azji i Pacyfiku w Warszawie;00-403;Warszawa;ul.;Solec;24;;Województwo Mazowieckie;28.12.1998;Samorządowe
23;Muzeum Bitwy pod Grunwaldem w Stębarku;14-107;Gietrzwałd;ul.;Stębark;1;;Województwo Warmińsko- Mazurskie ;;Samorządowe
24;Muzeum Budownictwa Ludowego – Park Etnograficzny w Olsztynku;11-015;Olsztynek;ul.;Leśna;23;;Województwo Warmińsko – Mazurskie ;30.12.2008;Samorządowe
25;Muzeum Budownictwa Ludowego w Sanoku;38-500;Sanok;ul.;Traugutta;3;;Województwo Podkarpackie ;21.09.2005;Samorządowe
26;Muzeum Ceramiki w Bolesławcu;59-700;Bolesławiec;ul.;Mickiewicza;13;;Gmina Miejska Bolesławiec;;Samorządowe
27;Muzeum Częstochowskie;42-217;Częstochowa;Aleja;Najświętszej Marii Panny;47;;Gmina Częstochowa;;Samorządowe
28;Muzeum Dawnego Kupiectwa w Świdnicy;58-100;Świdnica;ul.;Rynek;37;;Gmina Miasto Świdnica;;Samorządowe
29;Muzeum Dobranocek ze Zbiorów Wojciecha Jamy w Rzeszowie;35-064;Rzeszów;ul.;Mickiewicza;13;;Gmina Miasto Rzeszów;;Samorządowe
30;Muzeum Dulag 121;05-800;Pruszków;ul.;3 Maja ;8a;;Powiat Pruszkowski;;Samorządowe
31;Muzeum - Dwory Karwacjanów i Gładyszów;38-300;Gorlice;ul.;Wróblewskiego;10a;;Województwo Małopolskie;;Samorządowe
